Software,Version,Dependent Toolchain,Module Load Command
MPFR,4.2.0,foss/2022b,`module load foss/2022b MPFR/4.2.0`
xprop,1.2.5,foss/2022b,`module load foss/2022b xprop/1.2.5`
Xerces-C++,3.2.4,foss/2022b,`module load foss/2022b Xerces-C++/3.2.4`
CMake,3.24.3,foss/2022b,`module load foss/2022b CMake/3.24.3`
fontconfig,2.14.1,foss/2022b,`module load foss/2022b fontconfig/2.14.1`
libogg,1.3.5,foss/2022b,`module load foss/2022b libogg/1.3.5`
libgit2,1.5.0,foss/2022b,`module load foss/2022b libgit2/1.5.0`
Mako,1.2.4,foss/2022b,`module load foss/2022b Mako/1.2.4`
libglvnd,1.6.0,foss/2022b,`module load foss/2022b libglvnd/1.6.0`
Clang,16.0.4,foss/2022b,`module load foss/2022b Clang/16.0.4`
freetype,2.12.1,foss/2022b,`module load foss/2022b freetype/2.12.1`
libgeotiff,1.7.1,foss/2022b,`module load foss/2022b libgeotiff/1.7.1`
NLopt,2.7.1,foss/2022b,`module load foss/2022b NLopt/2.7.1`
CFITSIO,4.2.0,foss/2022b,`module load foss/2022b CFITSIO/4.2.0`
ATK,2.38.0,foss/2022b,`module load foss/2022b ATK/2.38.0`
bzip2,1.0.8,foss/2022b,`module load foss/2022b bzip2/1.0.8`
zstd,1.5.2,foss/2022b,`module load foss/2022b zstd/1.5.2`
cairo,1.17.4,foss/2022b,`module load foss/2022b cairo/1.17.4`
GST-plugins-base,1.22.1,foss/2022b,`module load foss/2022b GST-plugins-base/1.22.1`
Automake,1.16.5,foss/2022b,`module load foss/2022b Automake/1.16.5`
libGLU,9.0.2,foss/2022b,`module load foss/2022b libGLU/9.0.2`
HarfBuzz,5.3.1,foss/2022b,`module load foss/2022b HarfBuzz/5.3.1`
Blosc2,2.8.0,foss/2022b,`module load foss/2022b Blosc2/2.8.0`
GMP,6.2.1,foss/2022b,`module load foss/2022b GMP/6.2.1`
SDL2,2.26.3,foss/2022b,`module load foss/2022b SDL2/2.26.3`
libtool,2.4.7,foss/2022b,`module load foss/2022b libtool/2.4.7`
LLVM,15.0.5,foss/2022b,`module load foss/2022b LLVM/15.0.5`
GSL,2.7,foss/2022b,`module load foss/2022b GSL/2.7`
libjpeg-turbo,2.1.4,foss/2022b,`module load foss/2022b libjpeg-turbo/2.1.4`
Gdk-Pixbuf,2.42.10,foss/2022b,`module load foss/2022b Gdk-Pixbuf/2.42.10`
NSPR,4.35,foss/2022b,`module load foss/2022b NSPR/4.35`
x264,20230226,foss/2022b,`module load foss/2022b x264/20230226`
libopus,1.3.1,foss/2022b,`module load foss/2022b libopus/1.3.1`
DBus,1.15.2,foss/2022b,`module load foss/2022b DBus/1.15.2`
FLAC,1.4.2,foss/2022b,`module load foss/2022b FLAC/1.4.2`
pybind11,2.10.3,foss/2022b,`module load foss/2022b pybind11/2.10.3`
xorg-macros,1.19.3,foss/2022b,`module load foss/2022b xorg-macros/1.19.3`
GTK3,3.24.35,foss/2022b,`module load foss/2022b GTK3/3.24.35`
binutils,2.39,foss/2022b,`module load foss/2022b binutils/2.39`
Brotli,1.0.9,foss/2022b,`module load foss/2022b Brotli/1.0.9`
PCRE2,10.40,foss/2022b,`module load foss/2022b PCRE2/10.40`
Imath,3.1.6,foss/2022b,`module load foss/2022b Imath/3.1.6`
parallel,20230722,foss/2022b,`module load foss/2022b parallel/20230722`
libpciaccess,0.17,foss/2022b,`module load foss/2022b libpciaccess/0.17`
FFmpeg,5.1.2,foss/2022b,`module load foss/2022b FFmpeg/5.1.2`
FFmpeg,6.1.1,foss/2022b,`module load foss/2022b FFmpeg/6.1.1`
libcerf,2.3,foss/2022b,`module load foss/2022b libcerf/2.3`
Pillow,9.4.0,foss/2022b,`module load foss/2022b Pillow/9.4.0`
pdsh,2.34,foss/2022b,`module load foss/2022b pdsh/2.34`
pixman,0.42.2,foss/2022b,`module load foss/2022b pixman/0.42.2`
googletest,1.12.1,foss/2022b,`module load foss/2022b googletest/1.12.1`
METIS,5.1.0,foss/2022b,`module load foss/2022b METIS/5.1.0`
UCX,1.13.1,foss/2022b,`module load foss/2022b UCX/1.13.1`
PMIx,4.2.2,foss/2022b,`module load foss/2022b PMIx/4.2.2`
ncurses,6.3,foss/2022b,`module load foss/2022b ncurses/6.3`
libpng,1.6.38,foss/2022b,`module load foss/2022b libpng/1.6.38`
Pango,1.50.12,foss/2022b,`module load foss/2022b Pango/1.50.12`
libevent,2.1.12,foss/2022b,`module load foss/2022b libevent/2.1.12`
Yasm,1.3.0,foss/2022b,`module load foss/2022b Yasm/1.3.0`
libepoxy,1.5.10,foss/2022b,`module load foss/2022b libepoxy/1.5.10`
Doxygen,1.9.5,foss/2022b,`module load foss/2022b Doxygen/1.9.5`
gnuplot,5.4.6,foss/2022b,`module load foss/2022b gnuplot/5.4.6`
hwloc,2.8.0,foss/2022b,`module load foss/2022b hwloc/2.8.0`
HDF,4.2.15,foss/2022b,`module load foss/2022b HDF/4.2.15`
libxml2,2.10.3,foss/2022b,`module load foss/2022b libxml2/2.10.3`
NASM,2.15.05,foss/2022b,`module load foss/2022b NASM/2.15.05`
git,2.38.1-nodocs,foss/2022b,`module load foss/2022b git/2.38.1-nodocs`
PyZMQ,25.1.0,foss/2022b,`module load foss/2022b PyZMQ/25.1.0`
UnZip,6.0,foss/2022b,`module load foss/2022b UnZip/6.0`
Qt5,5.15.7,foss/2022b,`module load foss/2022b Qt5/5.15.7`
graphite2,1.3.14,foss/2022b,`module load foss/2022b graphite2/1.3.14`
PROJ,9.1.1,foss/2022b,`module load foss/2022b PROJ/9.1.1`
LERC,4.0.0,foss/2022b,`module load foss/2022b LERC/4.0.0`
hypothesis,6.68.2,foss/2022b,`module load foss/2022b hypothesis/6.68.2`
OpenJPEG,2.5.0,foss/2022b,`module load foss/2022b OpenJPEG/2.5.0`
RE2,2023-03-01,foss/2022b,`module load foss/2022b RE2/2023-03-01`
Highway,1.0.3,foss/2022b,`module load foss/2022b Highway/1.0.3`
UCX-CUDA,1.13.1-CUDA-12.0.0,foss/2022b,`module load foss/2022b UCX-CUDA/1.13.1-CUDA-12.0.0`
UCX-CUDA,1.13.1-CUDA-12.4.0,foss/2022b,`module load foss/2022b UCX-CUDA/1.13.1-CUDA-12.4.0`
FLTK,1.3.8,foss/2022b,`module load foss/2022b FLTK/1.3.8`
Qhull,2020.2,foss/2022b,`module load foss/2022b Qhull/2020.2`
OpenPGM,5.2.122,foss/2022b,`module load foss/2022b OpenPGM/5.2.122`
DB,18.1.40,foss/2022b,`module load foss/2022b DB/18.1.40`
ImageMagick,7.1.0-53,foss/2022b,`module load foss/2022b ImageMagick/7.1.0-53`
Tk,8.6.12,foss/2022b,`module load foss/2022b Tk/8.6.12`
nlohmann_json,3.11.2,foss/2022b,`module load foss/2022b nlohmann_json/3.11.2`
libdeflate,1.15,foss/2022b,`module load foss/2022b libdeflate/1.15`
pkgconf,1.9.3,foss/2022b,`module load foss/2022b pkgconf/1.9.3`
Gurobi,10.0.1,foss/2022b,`module load foss/2022b Gurobi/10.0.1`
